keys,Key_Sales_1,Key_Sales_2,Key_Sales_3,Key_Sales_4,Key_Sales_5
11/1/2013,0,5994,1068,325,11715
12/1/2013,0,4176,1362,324,19605
1/1/2014,0,5412,1020,473,3946
2/1/2014,0,636,692,270,6057
3/1/2014,0,3470,1500,234,4010
4/1/2014,0,3150,1218,242,14069
5/1/2014,0,84,60,211,5514
6/1/2014,0,643,132,302,3143
7/1/2014,0,2784,72,198,4261
8/1/2014,0,9456,1866,381,5510
9/1/2014,0,8516,2178,445,9264
10/1/2014,0,600,144,224,5059
11/1/2014,0,1308,270,236,3174
12/1/2014,0,2100,588,366,5430
1/1/2015,0,2712,780,368,3282
2/1/2015,0,1080,6,246,1146
3/1/2015,0,3921,726,292,5203
4/1/2015,0,4383,648,389,3107
5/1/2015,0,2592,732,201,6936
6/1/2015,0,3959,912,336,1254
7/1/2015,0,4032,840,294,1861
8/1/2015,0,3416,1398,566,2567
9/1/2015,0,5796,1338,380,1278
10/1/2015,0,2568,378,344,1398
11/1/2015,0,2976,474,289,1326
12/1/2015,0,3016,744,326,2022
1/1/2016,0,2796,204,375,1806
2/1/2016,0,3600,456,229,606
3/1/2016,0,1716,456,293,2616
4/1/2016,0,2008,258,279,156
5/1/2016,0,1472,696,283,1974
6/1/2016,0,2364,370,176,1890
7/1/2016,0,528,320,199,2958
8/1/2016,0,2016,504,328,3060
9/1/2016,0,5196,972,381,1489
10/1/2016,0,2772,1080,359,420
11/1/2016,0,8085,1032,260,634
12/1/2016,32,4152,642,247,432
1/1/2017,0,1692,600,286,222
2/1/2017,0,1668,498,177,270
3/1/2017,0,3168,732,248,581
4/1/2017,0,3408,1056,252,390
5/1/2017,0,756,462,162,150
6/1/2017,0,3396,732,156,417
7/1/2017,0,1428,414,195,516
8/1/2017,0,1460,156,492,932